Date	Close	High	Low	Open	Volume
16-Sep-99,58.88,59.25,58.5,58.5,2
15-Sep-99,58.25,59.13,58.25,59.13,2.5
14-Sep-99,59.5,59.5,58.5,59.25,4.7
13-Sep-99,58.88,59.5,58,59,7.1
10-Sep-99,60.25,61,60.25,60.75,1.4
9-Sep-99,61.25,61.38,60.75,61.38,2.1
8-Sep-99,60,61,58.25,58.25,38.8
7-Sep-99,59,59,58.75,59,4
3-Sep-99,60.38,60.75,60.13,60.38,7.6
2-Sep-99,59.63,60.75,59.5,60,15.7
1-Sep-99,61.38,61.38,60.63,60.63,8.1
31-Aug-99,61,61.5,61,61.25,2.3
30-Aug-99,61.38,61.38,60.75,60.75,0.7
27-Aug-99,61.75,61.75,60.81,61.06,0.9
26-Aug-99,61.25,62.13,61,62,3.5
25-Aug-99,62.63,62.63,61.5,62,5.9
24-Aug-99,62,62,61,61,16.2
23-Aug-99,61.38,61.75,61.38,61.5,8.1
20-Aug-99,60.75,60.75,60,60,3.1
19-Aug-99,59.5,59.5,58.88,59.19,3.5
18-Aug-99,58.75,59.63,58.75,59,5.4
17-Aug-99,59,59.25,58.63,59.25,2.4
16-Aug-99,58.38,59.13,58.25,59,2.4
13-Aug-99,59.75,59.75,58.88,58.88,9
12-Aug-99,59.38,59.38,58.38,58.69,7.7
11-Aug-99,58.88,58.88,58.13,58.13,3.1
10-Aug-99,58.25,59,58.13,59,2.4
9-Aug-99,58.88,58.88,58.25,58.5,5.3
6-Aug-99,57.5,58.25,57.5,57.5,2.8
5-Aug-99,58,58,57,57.5,4
4-Aug-99,57,58,57,57,1.2
3-Aug-99,57,57,56.25,56.25,3.3
2-Aug-99,56.25,56.88,55.75,55.75,0.9
30-Jul-99,56.25,56.75,56,56.25,6.7
29-Jul-99,57,57.25,56.25,56.88,6
28-Jul-99,58,58.13,57.5,57.5,2.1
27-Jul-99,57.63,58.5,57.25,57.5,4.3
26-Jul-99,57.63,58.25,57.63,57.75,4.2
23-Jul-99,57.63,57.75,56.75,57.75,1.8
22-Jul-99,57,57.75,57,57.75,2.9
21-Jul-99,57.75,57.75,57,57,2.6
20-Jul-99,57.25,58.25,57,58,6.7
19-Jul-99,58.25,58.25,57.25,57.5,1.4
16-Jul-99,58.5,58.5,57.75,57.75,2.4
15-Jul-99,58.25,58.5,57.75,57.75,2.3
14-Jul-99,58.25,58.25,57.31,58,4.5
13-Jul-99,57.25,58,57.25,57.75,2.8
12-Jul-99,58,58.25,58,58,5.3
